episode,total_reward,length,success,wall_hits
499,-10.549999999999965,200,0,95
500,-11.629999999999962,200,0,107
501,-10.639999999999965,200,0,96
502,-10.909999999999963,200,0,99
503,-10.459999999999964,200,0,94
504,-9.739999999999963,200,0,86
505,-11.899999999999961,200,0,110
506,-10.639999999999963,200,0,96
507,-11.179999999999962,200,0,102
508,-11.179999999999962,200,0,102
509,-10.189999999999962,200,0,91
510,-10.999999999999961,200,0,100
511,-7.309999999999972,175,1,73
512,-10.459999999999964,200,0,94
513,-10.459999999999964,200,0,94
514,-9.379999999999965,200,0,82
515,-7.409999999999975,149,1,77
516,-4.4499999999999895,105,1,49
517,-11.539999999999962,200,0,106
518,-11.539999999999962,200,0,106
519,-11.08999999999996,200,0,101
520,-10.459999999999964,200,0,94
521,-11.359999999999962,200,0,104
522,-11.179999999999962,200,0,102
523,-11.089999999999964,200,0,101
524,-10.999999999999964,200,0,100
525,-10.639999999999963,200,0,96
526,-11.449999999999962,200,0,105
527,-10.189999999999964,200,0,91
528,-10.909999999999963,200,0,99
529,-10.009999999999966,200,0,89
530,-8.929999999999966,200,0,77
531,-11.269999999999964,200,0,103
532,-10.459999999999964,200,0,94
533,-11.26999999999996,200,0,103
534,-10.099999999999962,200,0,90
535,-10.189999999999966,200,0,91
536,-7.869999999999969,177,1,79
537,-11.44999999999996,200,0,105
538,-10.999999999999963,200,0,100
539,-11.089999999999963,200,0,101
540,-10.279999999999964,200,0,92
541,-9.739999999999965,200,0,86
542,-10.639999999999961,200,0,96
543,-10.099999999999964,200,0,90
544,-11.449999999999962,200,0,105
545,-10.009999999999964,200,0,89
546,-11.629999999999962,200,0,107
547,-9.739999999999966,200,0,86
548,-9.019999999999968,200,0,78
549,-5.589999999999985,111,1,61
550,-11.629999999999962,200,0,107
551,-11.089999999999963,200,0,101
552,-11.629999999999962,200,0,107
553,-10.819999999999963,200,0,98
554,-10.909999999999963,200,0,99
555,-10.369999999999965,200,0,93
556,-11.269999999999962,200,0,103
557,-11.269999999999962,200,0,103
558,-11.08999999999996,200,0,101
559,-11.449999999999962,200,0,105
560,-11.359999999999962,200,0,104
561,-9.289999999999967,200,0,81
562,-12.52999999999996,200,0,117
563,-11.26999999999996,200,0,103
564,-9.739999999999965,200,0,86
565,-10.369999999999964,200,0,93
566,-10.459999999999964,200,0,94
567,-10.549999999999963,200,0,95
568,-10.819999999999963,200,0,98
569,-11.179999999999964,200,0,102
570,-10.639999999999963,200,0,96
571,-10.639999999999963,200,0,96
572,-10.909999999999963,200,0,99
573,-10.729999999999963,200,0,97
574,-10.549999999999965,200,0,95
575,-10.639999999999961,200,0,96
576,-10.819999999999963,200,0,98
577,-8.709999999999969,189,1,87
578,-10.279999999999964,200,0,92
579,-10.639999999999965,200,0,96
580,-10.729999999999963,200,0,97
581,-10.459999999999965,200,0,94
582,-9.829999999999965,200,0,87
583,-10.459999999999962,200,0,94
584,-9.559999999999967,200,0,84
585,-10.369999999999965,200,0,93
586,-11.269999999999962,200,0,103
587,-10.279999999999964,200,0,92
588,-10.999999999999963,200,0,100
589,-10.099999999999964,200,0,90
590,-10.819999999999965,200,0,98
591,-10.729999999999963,200,0,97
592,-11.35999999999996,200,0,104
593,-11.899999999999963,200,0,110
594,-10.639999999999965,200,0,96
595,-11.179999999999962,200,0,102
596,-10.549999999999963,200,0,95
597,-10.819999999999965,200,0,98
598,-11.08999999999996,200,0,101
599,-10.729999999999963,200,0,97
600,-10.819999999999961,200,0,98
601,-10.009999999999964,200,0,89
602,-10.009999999999964,200,0,89
603,-10.639999999999963,200,0,96
604,-4.049999999999994,92,1,46
605,-10.639999999999963,200,0,96
606,-10.729999999999965,200,0,97
607,-10.729999999999963,200,0,97
608,-11.359999999999962,200,0,104
609,-7.629999999999976,153,1,79
610,-9.739999999999965,200,0,86
611,-9.919999999999964,200,0,88
612,-10.459999999999962,200,0,94
613,-11.089999999999963,200,0,101
614,-2.8299999999999983,78,1,34
615,-11.179999999999962,200,0,102
616,-10.819999999999963,200,0,98
617,-10.279999999999964,200,0,92
618,-10.999999999999963,200,0,100
619,-11.269999999999962,200,0,103
620,-10.909999999999963,200,0,99
621,-11.359999999999962,200,0,104
622,-11.359999999999962,200,0,104
623,-10.909999999999961,200,0,99
624,-10.549999999999963,200,0,95
625,-10.549999999999963,200,0,95
626,-3.3899999999999952,89,1,39
627,-10.459999999999964,200,0,94
628,-11.269999999999962,200,0,103
629,-9.919999999999966,200,0,88
630,-10.909999999999963,200,0,99
631,-10.009999999999964,200,0,89
632,-10.099999999999964,200,0,90
633,-10.639999999999963,200,0,96
634,-10.009999999999964,200,0,89
635,-10.819999999999963,200,0,98
636,-10.459999999999964,200,0,94
637,-9.649999999999965,200,0,85
638,-10.999999999999963,200,0,100
639,-10.729999999999963,200,0,97
640,-10.009999999999966,200,0,89
641,-8.229999999999972,168,1,84
642,-10.189999999999962,200,0,91
643,-10.819999999999963,200,0,98
644,-10.279999999999964,200,0,92
645,-11.71999999999996,200,0,108
646,-10.819999999999963,200,0,98
